#2
double datos(167,2) # comment line
0.000000000, 2.053388
0.016666670, 2.052436
0.033333330, 2.041962
0.050000000, 2.021015
0.066666670, 1.991498
0.083333330, 1.961980
0.100000000, 1.928655
0.116666700, 1.892472
0.133333300, 1.852481
0.150000000, 1.813442
0.166666700, 1.766786
0.183333300, 1.720130
0.200000000, 1.668282
0.216666700, 1.610571
0.233333300, 1.554997
0.250000000, 1.498355
0.266666700, 1.437437
0.285000000, 1.372245
0.301666700, 1.309190
0.318333300, 1.232242
0.335000000, 1.163843
0.351666700, 1.081551
0.368333300, 1.003534
0.385000000, 0.928723
0.401666700, 0.842157
0.418333300, 0.751315
0.435000000, 0.666885
0.451666700, 0.574975
0.468333300, 0.475583
0.485000000, 0.380467
0.501666700, 0.280006
0.518333300, 0.166721
0.535000000, 0.055574
0.551666700, 0.000000
0.568333300, 0.099392
0.585000000, 0.164584
0.601666700, 0.236189
0.618333300, 0.306725
0.635000000, 0.366573
0.651666700, 0.428559
0.668333300, 0.484133
0.685000000, 0.540737
0.701666700, 0.582456
0.718333300, 0.636468
0.735000000, 0.675462
0.751666700, 0.713669
0.768333300, 0.752191
0.785000000, 0.789753
0.801666700, 0.825488
0.818333300, 0.851775
0.835000000, 0.878762
0.851666700, 0.901508
0.868333300, 0.922480
0.885000000, 0.940473
0.901666700, 0.953304
0.918333300, 0.965060
0.935000000, 0.971472
0.951666700, 0.981091
0.968333300, 0.983228
0.985000000, 0.983332
1.001667000, 0.981221
1.018333000, 0.977885
1.035000000, 0.967198
1.051667000, 0.959716
1.068333000, 0.947961
1.085000000, 0.931930
1.101667000, 0.912285
1.118333000, 0.889791
1.135000000, 0.864520
1.151667000, 0.839522
1.168333000, 0.808611
1.185000000, 0.776308
1.201667000, 0.740953
1.218333000, 0.701315
1.235000000, 0.661141
1.251667000, 0.615792
1.268333000, 0.568758
1.285000000, 0.518918
1.301667000, 0.466564
1.318333000, 0.408076
1.335000000, 0.349519
1.351667000, 0.288390
1.368333000, 0.222050
1.385000000, 0.154769
1.401667000, 0.087674
1.418333000, -0.002095
1.435000000, 0.049202
1.451667000, 0.102636
1.468333000, 0.151795
1.485000000, 0.194542
1.501667000, 0.230877
1.518333000, 0.271487
1.535000000, 0.305684
1.551667000, 0.339882
1.568333000, 0.369823
1.585000000, 0.398616
1.601667000, 0.425009
1.618333000, 0.443005
1.635000000, 0.463400
1.651667000, 0.478996
1.668333000, 0.492193
1.685000000, 0.499392
1.701667000, 0.502991
1.718333000, 0.506590
1.735000000, 0.507151
1.751667000, 0.504922
1.768333000, 0.499600
1.785000000, 0.491274
1.801667000, 0.480163
1.818333000, 0.465987
1.835000000, 0.449307
1.851667000, 0.430070
1.868333000, 0.406835
1.885000000, 0.381250
1.901667000, 0.352800
1.918333000, 0.320418
1.935000000, 0.286453
1.951667000, 0.248746
1.968333000, 0.207102
1.985000000, 0.164120
2.001667000, 0.117110
2.020000000, 0.068863
2.036667000, 0.009575
2.053333000, 0.004191
2.070000000, 0.044569
2.086667000, 0.080258
2.103333000, 0.111216
2.120000000, 0.139592
2.136667000, 0.165243
2.153333000, 0.187595
2.170000000, 0.207276
2.186667000, 0.222863
2.203333000, 0.237188
2.220000000, 0.248075
2.236667000, 0.255748
2.253333000, 0.259721
2.270000000, 0.261438
2.286667000, 0.260612
2.303333000, 0.256726
2.320000000, 0.248678
2.336667000, 0.238592
2.353333000, 0.225700
2.370000000, 0.209373
2.386667000, 0.190796
2.403333000, 0.169617
2.420000000, 0.144818
2.436667000, 0.116908
2.453333000, 0.086987
2.470000000, 0.053991
2.486667000, 0.014959
2.503333000, -0.006576
2.520000000, 0.021689
2.536667000, 0.043223
2.553333000, 0.068796
2.570000000, 0.084947
2.586667000, 0.099752
2.603333000, 0.114558
2.620000000, 0.124622
2.636667000, 0.132191
2.653333000, 0.136535
2.670000000, 0.137933
2.686667000, 0.136564
2.703333000, 0.131801
2.720000000, 0.124024
2.736667000, 0.113896
2.753333000, 0.101070
2.770000000, 0.076872
