#2
double datos(152,2) # comment line
0.000000000, 1.567
0.016672290, 1.552
0.033344580, 1.549
0.050016880, 1.535
0.066689170, 1.518
0.083361460, 1.499
0.100033800, 1.477
0.116706000, 1.450
0.133378300, 1.422
0.150050600, 1.390
0.166722900, 1.356
0.183395200, 1.319
0.200067500, 1.278
0.216739800, 1.235
0.233412100, 1.190
0.250084400, 1.143
0.266756700, 1.089
0.283429000, 1.033
0.300101300, 0.977
0.316773500, 0.920
0.333445800, 0.857
0.350118100, 0.796
0.366790400, 0.728
0.383462700, 0.659
0.400135000, 0.588
0.416807300, 0.507
0.433479600, 0.433
0.450151900, 0.349
0.466824200, 0.276
0.483496500, 0.186
0.500168800, 0.100
0.516841100, -0.004
0.533513300, 0.060
0.550185600, 0.104
0.566857900, 0.167
0.583530200, 0.224
0.600202500, 0.274
0.616874800, 0.327
0.633547100, 0.377
0.650219400, 0.417
0.666891700, 0.457
0.683564000, 0.500
0.700236300, 0.531
0.716908600, 0.564
0.733580900, 0.595
0.750253100, 0.621
0.766925400, 0.646
0.783597700, 0.668
0.800270000, 0.686
0.816942300, 0.702
0.833614600, 0.715
0.850286900, 0.725
0.866959200, 0.733
0.883631500, 0.738
0.900303800, 0.736
0.916976100, 0.738
0.933648400, 0.734
0.950320600, 0.728
0.966992900, 0.718
0.983665200, 0.705
1.000338000, 0.690
1.017010000, 0.672
1.033682000, 0.651
1.050354000, 0.629
1.067027000, 0.602
1.083699000, 0.572
1.100371000, 0.541
1.117044000, 0.506
1.133716000, 0.468
1.150388000, 0.428
1.167060000, 0.384
1.183733000, 0.338
1.200405000, 0.290
1.217077000, 0.238
1.233750000, 0.181
1.250422000, 0.123
1.267094000, 0.061
1.283766000, 0.000
1.300439000, 0.043
1.317111000, 0.083
1.333783000, 0.126
1.350456000, 0.162
1.367128000, 0.196
1.383800000, 0.228
1.400473000, 0.256
1.417145000, 0.281
1.433817000, 0.305
1.450489000, 0.325
1.467162000, 0.342
1.483834000, 0.356
1.500506000, 0.367
1.517179000, 0.376
1.535518000, 0.382
1.552190000, 0.385
1.568863000, 0.385
1.585535000, 0.382
1.602207000, 0.376
1.618880000, 0.368
1.635552000, 0.357
1.652224000, 0.344
1.668896000, 0.327
1.685569000, 0.308
1.702241000, 0.285
1.718913000, 0.260
1.735586000, 0.232
1.752258000, 0.202
1.768930000, 0.168
1.785602000, 0.132
1.802275000, 0.094
1.818947000, 0.050
1.835619000, -0.001
1.852292000, 0.023
1.868964000, 0.055
1.885636000, 0.085
1.902309000, 0.105
1.918981000, 0.132
1.935653000, 0.151
1.952325000, 0.168
1.968998000, 0.182
1.985670000, 0.193
2.002342000, 0.202
2.019015000, 0.208
2.035687000, 0.211
2.052359000, 0.211
2.069031000, 0.208
2.085704000, 0.202
2.102376000, 0.194
2.119048000, 0.183
2.135721000, 0.169
2.152393000, 0.152
2.169065000, 0.132
2.185737000, 0.106
2.202410000, 0.084
2.219082000, 0.058
2.235754000, 0.025
2.252427000, -0.007
2.269099000, 0.019
2.285771000, 0.043
2.302444000, 0.061
2.319116000, 0.076
2.335788000, 0.088
2.352460000, 0.101
2.369133000, 0.109
2.385805000, 0.112
2.402477000, 0.114
2.419150000, 0.116
2.435822000, 0.109
2.452494000, 0.103
2.469166000, 0.091
2.485839000, 0.081
2.502511000, 0.065
2.519183000, 0.044
